Title,URL,release_year,rating,votes,type,des,pos,crews,stars
1. Mere Humsafar,/title/tt21245840/?ref_=sr_i_1,2021– ,8.4,(879),TV Series,"Mere Humsafar, is a story about a British national, Hala, who is left to his father's relatives when her father and mother decide to separate after her birth.","https://m.media-amazon.com/images/M/MV5BMjA5NjBiZDItMDg4Ni00ZWZkLWI0MmItOGE1M2IwZTU5NGJhXkEyXkFqcGdeQXVyMTMzNjcyMTkz._V1_QL75_UY207_CR13,0,140,207_.jpg","['Drama', 'Romance', 'Back to top']","['Shrikant S. Pawar', 'Aamir Qureshi', 'Hania Aamir', 'Farhan Saeed']"
2. Joyland,/title/tt19719976/?ref_=sr_i_2,2022,7.6,(5.8K),,The youngest son in a traditional Pakistani family takes a job as a backup dancer in a Bollywood-style burlesque and quickly becomes infatuated with the strong-willed trans woman who runs the show.,"https://m.media-amazon.com/images/M/MV5BMmYxYmJkYWQtNjZkZC00NTMwLTgxMjEtZDQxNmRlZGMyNmQ5XkEyXkFqcGdeQXVyMjQ0NzcxNjM@._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Ali Junejo', 'Rasti Farooq', 'Alina Khan', 'Sarwat Gilani', 'Salmaan Peerzada', 'Sohail Sameer', 'Sania Saeed', 'Ramiz Law', 'Honey Albela', 'Priya Usman Khan', 'Muzammil Khan', 'Honey', 'Shahbaz Rafiq', 'Iftikhar India', 'Umar Fiaz', 'Pakeeza Batool', 'Eeshal Ali', 'Shiza Moin']"
3. The Queen of My Dreams,/title/tt21876438/?ref_=sr_i_3,2023,8.0,(47),,"Against the backdrop of a shared obsession with Bollywood fantasy, Mariam, a Pakistani Muslim woman, and her Canadian-born daughter Azra come of age in two different eras.","https://m.media-amazon.com/images/M/MV5BN2Q4ODZmODQtYTljMi00MWRjLTg4YzYtMWRmZDJmOGQ0OTVlXkEyXkFqcGdeQXVyMTYyMDQ1OTAz._V1_QL75_UY207_CR3,0,140,207_.jpg","['Action', 'Drama', 'Fantasy', 'Back to top']","['Fawad Khan', 'Mahira Khan', 'Hamza Ali Abbasi', 'Ahsan Khan', 'Humaima Malik', 'Gohar Rasheed', 'Shafqat Cheema', 'Babar Ali', 'Nayyar Ejaz', 'Ukasha Gul', 'Faris Shafi', 'Ali Raza', 'Resham', 'Ali Azmat', 'Saima Baloch', 'Abdul Razzaq', 'Rasheed Ali', 'Maryam Safdar Qazibash']"
4. The Legend of Maula Jatt,/title/tt4139928/?ref_=sr_i_4,2022,8.7,(10K),,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.","https://m.media-amazon.com/images/M/MV5BMWMwODY3MzYtYmY2MC00MDMzLWI0ZTgtYTlhODNmNWQzYmUxXkEyXkFqcGdeQXVyODg1MTc3MTM@._V1_QL75_UY207_CR3,0,140,207_.jpg","['Drama', 'Sport', 'Back to top']","['Yumna Zaidi', 'Jawed Sheikh', 'Fawad Khan', 'Usama Khan', 'Adnan Siddiqui', 'Ehteshamuddin', 'Huma Nawab', 'Noreen Gulwani', 'Faryal Mehmood', 'Mohammed Ehteshamuddin', 'Mahdi Qasmi']"
5. Nayab,/title/tt30448138/?ref_=sr_i_5,2024,8.3,(134),,"With the support of her older, married brother, a young woman rebels against her parents' expectations and trains to become a cricket player for Pakistan's national team.","https://m.media-amazon.com/images/M/MV5BY2U2ZmU0MGMtZjEwOS00YmNiLWJjN2EtOWViOTI1ODZhNTkzXkEyXkFqcGdeQXVyMTAxOTEyNzI3._V1_QL75_UY207_CR2,0,140,207_.jpg","['Drama', 'Back to top']","['Dur-e-Fishan Saleem', 'Danish Taimoor', 'Noman Aijaz', 'Ehtisham Raziq', 'Shahood Alvi', 'Hammad Shoaib', 'Laila Wasti', 'Atiqa Odho', 'Zainab Qayum', 'Shehzeen Rahat', 'Tipu Shareef', 'Emad Butt', 'DJ Fluke', 'Nouman Ijaz']"
6. Kaisi Teri Khudgarzi,/title/tt24828460/?ref_=sr_i_6,2022,8.1,(364),TV Series,"A son of a business tycoon, Shehreyar falls in love with Mehak, who belongs to a middle class background. Since Shehreyar's family does not approve of his relationship, some unpleasant events occur, and their story tangles even more.","https://m.media-amazon.com/images/M/MV5BMDI4YmE1MGItNTI5YS00Y2YwLWIxMDQtMzVjN2E0NDU2YzNjXkEyXkFqcGdeQXVyNjQ2MjQ4MzQ@._V1_QL75_UY207_CR100,0,140,207_.jpg","['Drama', 'Romance', 'Back to top']","['Noor ul Hasan', 'Anas Ali Imran', 'Danish Taimoor', 'Hiba Bukhari', 'Ali Abbas', 'Mehmood Aslam', 'Ismat Zaidi']"
7. Deewangi,/title/tt11609990/?ref_=sr_i_7,2019– ,7.3,(312),TV Series,"Hailing from different backgrounds, Nageen and Sultan's encounter turns bitter when an uninvited proposal tarnishes Sultan's self respect forever. Love-hate relationship between Nageen and Sultan makes it impossible to forge a close bond.","https://m.media-amazon.com/images/M/MV5BNjJkODJiZDUtMGRlYi00YTI5LWFjNTItZTc4MjYyY2RjY2EwXkEyXkFqcGdeQXVyMTA5MzE0OTM3._V1_QL75_UX140_CR0,0,140,207_.jpg","['Drama', 'Back to top']","['Umer Aalam', 'Imran Ashraf', 'Sarah Khan', 'Anoushay Abbasi', 'Mehmood Aslam', 'Zara Sheikh', 'Momin Saqib', 'Rashid Farooqi', 'Gul-e-Rana', 'Farah Nadir', 'Nida Mumtaz']"
8. Raqs-e-Bismil,/title/tt14234016/?ref_=sr_i_8,2020– ,8.0,(541),TV Series,"Two brothers, Moosa and Essa, carry on their father's conservative and patriarchal rules while dealing with women in their family and control every aspect of their lives.","https://m.media-amazon.com/images/M/MV5BOThmMGU4OTAtMDZlNC00MTVkLTkyZjAtYTE2ZTE4MDEyMDE0XkEyXkFqcGdeQXVyMTExMDI3NTQy._V1_QL75_UY207_CR39,0,140,207_.jpg","['Comedy', 'Drama', 'Horror', 'Back to top']","['Babar Ali', 'Wahaj Ali', 'Mehwish Hayat', 'Ramsha Khan', 'Zayn Khan', 'Hira Mani', 'Irfan Motiwala', 'Sheheryar Munawar']"
9. Teri Meri Kahaniyaan,/title/tt27935445/?ref_=sr_i_9,2023,6.8,(596),,"An amazing and never-before-seen on-screen cast. And, the people's favorite husband-wife duo, Hira and Mani will be appearing together for the first time.","https://m.media-amazon.com/images/M/MV5BMzA0NjFkZjAtZWRjYS00MmM1LWExMTQtOGI5Zjk5ZTU4NmMxXkEyXkFqcGdeQXVyODg1MTc3MTM@._V1_QL75_UX140_CR0,1,140,207_.jpg","['Drama', 'Back to top']","['Hadi Bin Arshad', 'Hamza Ali Abbasi', 'Kubra Khan', 'Fahad Ahmad', 'Sadaf Kanwal', 'Sajjal Ali', 'Sajal Ali']"
10. Alif,/title/tt11357084/?ref_=sr_i_10,2019–2020,9.1,(1.8K),TV Series,"Alif is the journey of Momin and Momina, where Momin's journey is to rediscover his roots and Momina's journey is to maintain the livelihood of her family by fateful events their paths will join.","https://m.media-amazon.com/images/M/MV5BYTRjZDEyZjYtZWQ0MS00NjY2LTg4N2MtM2RlNDUxMTBkZDVhXkEyXkFqcGdeQXVyNzE4NzE3NDg@._V1_QL75_UY207_CR34,0,140,207_.jpg","['Drama', 'Back to top']","['Aina Asif', 'Nouman Ijaz', 'Samar Abbas', 'Amna Malik', 'Diya Mughal', 'Maya Khan', 'Paras Masroor', 'Maria Wasti', 'Faridi Saad', 'Usman Mazhar', 'Muhammad Hassaan']"
