,Title,URL,release_year,rating,votes,type,des,pos
0,1. Mere Humsafar,/title/tt21245840/?ref_=sr_i_1,2021– ,8.4,(878),TV Series,"Mere Humsafar, is a story about a British national, Hala, who is left to his father's relatives when her father and mother decide to separate after her birth.","https://m.media-amazon.com/images/M/MV5BMjA5NjBiZDItMDg4Ni00ZWZkLWI0MmItOGE1M2IwZTU5NGJhXkEyXkFqcGdeQXVyMTMzNjcyMTkz._V1_QL75_UY207_CR13,0,140,207_.jpg"
1,2. Joyland,/title/tt19719976/?ref_=sr_i_2,2022,7.6,(5.8K),,The youngest son in a traditional Pakistani family takes a job as a backup dancer in a Bollywood-style burlesque and quickly becomes infatuated with the strong-willed trans woman who runs the show.,"https://m.media-amazon.com/images/M/MV5BMmYxYmJkYWQtNjZkZC00NTMwLTgxMjEtZDQxNmRlZGMyNmQ5XkEyXkFqcGdeQXVyMjQ0NzcxNjM@._V1_QL75_UX140_CR0,0,140,207_.jpg"
2,3. Exorcist: The Beginning,/title/tt0204313/?ref_=sr_i_3,2004,5.1,(40K),,"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. This is the tale of Father Merrin's initial battle with Pazuzu and the rediscovery of his faith.","https://m.media-amazon.com/images/M/MV5BMjI0NzY1MzQ0MV5BMl5BanBnXkFtZTcwOTM1MTEzMw@@._V1_QL75_UX140_CR0,1,140,207_.jpg"
3,4. The Queen of My Dreams,/title/tt21876438/?ref_=sr_i_4,2023,8.0,(47),,"Against the backdrop of a shared obsession with Bollywood fantasy, Mariam, a Pakistani Muslim woman, and her Canadian-born daughter Azra come of age in two different eras.","https://m.media-amazon.com/images/M/MV5BN2Q4ODZmODQtYTljMi00MWRjLTg4YzYtMWRmZDJmOGQ0OTVlXkEyXkFqcGdeQXVyMTYyMDQ1OTAz._V1_QL75_UY207_CR3,0,140,207_.jpg"
4,5. Ishq Murshid,/title/tt29317254/?ref_=sr_i_5,2023– ,9.1,(330),TV Series,A girl is loved by two boys. These two boys are going to get into a major fight.,"https://m.media-amazon.com/images/M/MV5BNmI0OGE0NmYtNzhiNi00ZjcyLWJkZTctMjE5ZTZjNzBkZmIzXkEyXkFqcGdeQXVyNjQ2MjQ4MzQ@._V1_QL75_UX140_CR0,1,140,207_.jpg"
5,6. The Legend of Maula Jatt,/title/tt4139928/?ref_=sr_i_6,2022,8.7,(10K),,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.","https://m.media-amazon.com/images/M/MV5BMWMwODY3MzYtYmY2MC00MDMzLWI0ZTgtYTlhODNmNWQzYmUxXkEyXkFqcGdeQXVyODg1MTc3MTM@._V1_QL75_UY207_CR3,0,140,207_.jpg"
6,7. Nayab,/title/tt30448138/?ref_=sr_i_7,2024,8.4,(131),,"With the support of her older, married brother, a young woman rebels against her parents' expectations and trains to become a cricket player for Pakistan's national team.","https://m.media-amazon.com/images/M/MV5BY2U2ZmU0MGMtZjEwOS00YmNiLWJjN2EtOWViOTI1ODZhNTkzXkEyXkFqcGdeQXVyMTAxOTEyNzI3._V1_QL75_UY207_CR2,0,140,207_.jpg"
7,8. Kaisi Teri Khudgarzi,/title/tt24828460/?ref_=sr_i_8,2022,8.1,(364),TV Series,"A son of a business tycoon, Shehreyar falls in love with Mehak, who belongs to a middle class background. Since Shehreyar's family does not approve of his relationship, some unpleasant events occur, and their story tangles even more.","https://m.media-amazon.com/images/M/MV5BMDI4YmE1MGItNTI5YS00Y2YwLWIxMDQtMzVjN2E0NDU2YzNjXkEyXkFqcGdeQXVyNjQ2MjQ4MzQ@._V1_QL75_UY207_CR100,0,140,207_.jpg"
8,9. Deewangi,/title/tt11609990/?ref_=sr_i_9,2019– ,7.3,(312),TV Series,"Hailing from different backgrounds, Nageen and Sultan's encounter turns bitter when an uninvited proposal tarnishes Sultan's self respect forever. Love-hate relationship between Nageen and Sultan makes it impossible to forge a close bond.","https://m.media-amazon.com/images/M/MV5BNjJkODJiZDUtMGRlYi00YTI5LWFjNTItZTc4MjYyY2RjY2EwXkEyXkFqcGdeQXVyMTA5MzE0OTM3._V1_QL75_UX140_CR0,0,140,207_.jpg"
9,10. Raqs-e-Bismil,/title/tt14234016/?ref_=sr_i_10,2020– ,8.0,(541),TV Series,"Two brothers, Moosa and Essa, carry on their father's conservative and patriarchal rules while dealing with women in their family and control every aspect of their lives.","https://m.media-amazon.com/images/M/MV5BOThmMGU4OTAtMDZlNC00MTVkLTkyZjAtYTE2ZTE4MDEyMDE0XkEyXkFqcGdeQXVyMTExMDI3NTQy._V1_QL75_UY207_CR39,0,140,207_.jpg"
